title	first author	journal_name	doi	all authors	date
Associations of Breast Cancer Etiologic Factors with Stromal Microenvironment of Primary Invasive Breast Cancers in the Ghana Breast Health Study	"Abubakar, M."	Res Sq  	https://dx.doi.org/10.21203/rs.3.rs-2791342/v1 	"Abubakar, M., T. U. Ahearn, M. A. Duggan, S. Lawrence, E. Adjei, J. N. Clegg-Lamptey, J. Yarney, B. Wiafe-Addai, B. Awuah, S. Wiafe, K. Nyarko, F. Aitpillah, D. Ansong, S. M. Hewitt, L. A. Brinton, J. D. Figueroa, M. Garcia-Closas, L. Edusei, and N. Titiloye"	4/14/2023
Cross-Ancestry Gwas Meta-Analysis Identifies Six Breast Cancer Loci in African and European Ancestry Women	"Adedokun, B."	Nat Commun	https://dx.doi.org/10.1038/s41467-021-24327-x	"Adedokun, B., Z. Du, G. Gao, T. U. Ahearn, K. L. Lunetta, G. Zirpoli, J. Figueroa, E. M. John, L. Bernstein, W. Zheng, J. J. Hu, R. G. Ziegler, S. Nyante, E. V. Bandera, S. A. Ingles, M. F. Press, S. L. Deming-Halverson, J. L. Rodriguez-Gil, S. Yao, T. O. Ogundiran, O. Ojengbede, W. Blot, M. A. Troester, K. L. Nathanson, A. Hennis, B. Nemesure, S. Ambs, P. N. Fiorica, L. E. Sucheston-Campbell, J. T. Bensen, L. H. Kushi, G. Torres-Mejia, D. Hu, L. Fejerman, M. K. Bolla, J. Dennis, A. M. Dunning, D. F. Easton, K. Michailidou, P. D. P. Pharoah, Q. Wang, D. P. Sandler, J. A. Taylor, K. M. O'Brien, C. M. Kitahara, A. G. Falusi, C. Babalola, J. Yarney, B. Awuah, B. Addai-Wiafe, S. J. Chanock, A. F. Olshan, C. B. Ambrosone, D. V. Conti, E. Ziv, O. I. Olopade, M. Garcia-Closas, J. R. Palmer, C. A. Haiman, and D. Huo"	7/7/2021
Breast Cancer Risk in Women from Ghana Carrying Rare Germline Pathogenic Mutations	"Ahearn, T. U."	Cancer Epidemiol Biomarkers 	https://dx.doi.org/10.1158/1055-9965.Epi-21-1397	"Ahearn, T. U., P. P. Choudhury, A. Derkach, B. Wiafe-Addai, B. Awuah, J. Yarney, L. Edusei, N. Titiloye, E. Adjei, V. Vanderpuye, F. Aitpillah, F. Dedey, J. Oppong, E. B. Osei-Bonsu, M. A. Duggan, L. A. Brinton, J. Allen, C. Luccarini, C. Baynes, S. Carvalho, A. M. Dunning, B. C. Davis Lynn, S. J. Chanock, B. D. Hicks, M. Yeager, N. Chatterjee, R. Biritwum, J. N. Clegg-Lamptey, K. Nyarko, S. Wiafe, D. Ansong, D. F. Easton, J. D. Figueroa, and M. Garcia-Closas"	8/2/2022
Circulating Tumor DNA Is Readily Detectable among Ghanaian Breast Cancer Patients Supporting Non-Invasive Cancer Genomic Studies in Africa	"Ahuno, S. T."	NPJ Precis Oncol 	https://dx.doi.org/10.1038/s41698-021-00219-7	"Ahuno, S. T., A. L. Doebley, T. U. Ahearn, J. Yarney, N. Titiloye, N. Hamel, E. Adjei, J. N. Clegg-Lamptey, L. Edusei, B. Awuah, X. Song, V. Vanderpuye, M. Abubakar, M. Duggan, D. G. Stover, K. Nyarko, J. M. S. Bartlett, F. Aitpillah, D. Ansong, K. L. Gardner, F. A. Boateng, A. M. Bowcock, C. Caldas, W. D. Foulkes, S. Wiafe, B. Wiafe-Addai, M. Garcia-Closas, A. Kwarteng, G. Ha, J. D. Figueroa, and P. Polak"	9/17/2021
Design Considerations for Identifying Breast Cancer Risk Factors in a Population-Based Study in Africa	"Brinton, L. A."	Int J Cancer 	https://dx.doi.org/10.1002/ijc.30688	"Brinton, L. A., B. Awuah, J. Nat Clegg-Lamptey, B. Wiafe-Addai, D. Ansong, K. M. Nyarko, S. Wiafe, J. Yarney, R. Biritwum, M. Brotzman, A. A. Adjei, E. Adjei, F. Aitpillah, L. Edusei, F. Dedey, S. J. Nyante, J. Oppong, E. Osei-Bonsu, N. Titiloye, V. Vanderpuye, E. Brew Abaidoo, B. Arhin, I. Boakye, M. Frempong, N. Ohene Oti, V. Okyne, and J. D. Figueroa"	6/15/2017
Skin Lighteners and Hair Relaxers as Risk Factors for Breast Cancer: Results from the Ghana Breast Health Study	"Brinton, L. A."	Carcinogenesis 	https://dx.doi.org/10.1093/carcin/bgy002	"Brinton, L. A., J. D. Figueroa, D. Ansong, K. M. Nyarko, S. Wiafe, J. Yarney, R. Biritwum, M. Brotzman, J. E. Thistle, E. Adjei, F. Aitpillah, F. Dedey, L. Edusei, N. Titiloye, B. Awuah, J. N. Clegg-Lamptey, B. Wiafe-Addai, and V. Vanderpuye"	4/5/2018
"Factors Contributing to Delays in Diagnosis of Breast Cancers in Ghana, West Africa"	"Brinton, L."	Breast Cancer Res Trea	https://dx.doi.org/10.1007/s10549-016-4088-1	"Brinton, L., J. Figueroa, E. Adjei, D. Ansong, R. Biritwum, L. Edusei, K. M. Nyarko, S. Wiafe, J. Yarney, B. W. Addai, B. Awuah, and J. N. Clegg-Lamptey"	2/2017
Associations of Fecal Microbial Profiles with Breast Cancer and Nonmalignant Breast Disease in the Ghana Breast Health Study	"Byrd, D. A."	Int J Cancer 	https://dx.doi.org/10.1002/ijc.33473	"Byrd, D. A., E. Vogtmann, Z. Wu, Y. Han, Y. Wan, J. N. Clegg-Lamptey, J. Yarney, B. Wiafe-Addai, S. Wiafe, B. Awuah, D. Ansong, K. Nyarko, A. G. Hullings, X. Hua, T. Ahearn, J. J. Goedert, J. Shi, R. Knight, J. D. Figueroa, L. A. Brinton, M. Garcia-Closas, and R. Sinha"	6/1/2021
Discovery of Structural Deletions in Breast Cancer Predisposition Genes Using Whole Genome Sequencing Data from?>?2000 Women of African-Ancestry	"Chen, Z."	Hum Genet 	https://dx.doi.org/10.1007/s00439-021-02342-8	"Chen, Z., X. Guo, J. Long, J. Ping, B. Li, M. K. Fadden, T. U. Ahearn, D. O. Stram, X. O. Shu, G. Jia, J. Figueroa, J. R. Palmer, M. Sanderson, C. A. Haiman, W. J. Blot, M. Garcia-Closas, Q. Cai, and W. Zheng"	10/2022
Estrogen Receptor Negative Breast Cancer Incidence Rates Are Similar in Ghanaian and Non-Hispanic Black Women in the USA	Davis Lynn	medRxiv  	https://dx.doi.org/10.1101/2022.02.21.22271266	"Davis Lynn, Brittny C, Jonine Figueroa, Fred Kwame Awittor, Naomi O. Ohene Oti, Lawrence Edusei, Nicolas Titiloye, Ernest Adjei, Beatrice Wiafe Addai, Robertson Adjei, Lucy T. Afriyie, Joel Yarney, Daniel Ansong, Seth Wiafe, Thomas Ahearn, Verna Vanderpuye, Florence Dedey, Louise A. Brinton, Baffour Awuah, Joe Nat Clegg-Lamptey, Mustapha Abubakar, Montserrat Garcia-Closas, Richard Biritwum, and Barry I Graubard"	2022
Evaluating Polygenic Risk Scores for Breast Cancer in Women of African Ancestry	"Du, Z."	J Natl Cancer Inst 	https://dx.doi.org/10.1093/jnci/djab050	"Du, Z., G. Gao, B. Adedokun, T. Ahearn, K. L. Lunetta, G. Zirpoli, M. A. Troester, E. A. Ruiz-Narv�ez, S. A. Haddad, P. PalChoudhury, J. Figueroa, E. M. John, L. Bernstein, W. Zheng, J. J. Hu, R. G. Ziegler, S. Nyante, E. V. Bandera, S. A. Ingles, N. Mancuso, M. F. Press, S. L. Deming, J. L. Rodriguez-Gil, S. Yao, T. O. Ogundiran, O. Ojengbe, M. K. Bolla, J. Dennis, A. M. Dunning, D. F. Easton, K. Michailidou, P. D. P. Pharoah, D. P. Sandler, J. A. Taylor, Q. Wang, C. R. Weinberg, C. M. Kitahara, W. Blot, K. L. Nathanson, A. Hennis, B. Nemesure, S. Ambs, L. E. Sucheston-Campbell, J. T. Bensen, S. J. Chanock, A. F. Olshan, C. B. Ambrosone, O. I. Olopade, J. Yarney, B. Awuah, B. Wiafe-Addai, D. V. Conti, J. R. Palmer, M. Garcia-Closas, D. Huo, and C. A. Haiman"	9/1/2021
Reproductive Factors and Risk of Breast Cancer by Tumor Subtypes among Ghanaian Women: A Population-Based Case-Control Study	"Figueroa, J. D."	Int J Cancer 	https://dx.doi.org/10.1002/ijc.32929	"Figueroa, J. D., B. C. Davis Lynn, L. Edusei, N. Titiloye, E. Adjei, J. N. Clegg-Lamptey, J. Yarney, B. Wiafe-Addai, B. Awuah, M. A. Duggan, S. Wiafe, K. Nyarko, F. Aitpillah, D. Ansong, S. M. Hewitt, T. Ahearn, M. Garcia-Closas, and L. A. Brinton"	9/15/2020
Polygenic Risk Scores for Prediction of Breast Cancer Risk in Women of African Ancestry: A Cross-Ancestry Approach	"Gao, G."	Hum Mol Genet 	https://dx.doi.org/10.1093/hmg/ddac102	"Gao, G., F. Zhao, T. U. Ahearn, K. L. Lunetta, M. A. Troester, Z. Du, T. O. Ogundiran, O. Ojengbede, W. Blot, K. L. Nathanson, S. M. Domchek, B. Nemesure, A. Hennis, S. Ambs, J. McClellan, M. Nie, K. Bertrand, G. Zirpoli, S. Yao, A. F. Olshan, J. T. Bensen, E. V. Bandera, S. Nyante, D. V. Conti, M. F. Press, S. A. Ingles, E. M. John, L. Bernstein, J. J. Hu, S. L. Deming-Halverson, S. J. Chanock, R. G. Ziegler, J. L. Rodriguez-Gil, L. E. Sucheston-Campbell, D. P. Sandler, J. A. Taylor, C. M. Kitahara, K. M. O'Brien, M. K. Bolla, J. Dennis, A. M. Dunning, D. F. Easton, K. Michailidou, P. D. P. Pharoah, Q. Wang, J. Figueroa, R. Biritwum, E. Adjei, S. Wiafe, C. B. Ambrosone, W. Zheng, O. I. Olopade, M. Garc�a-Closas, J. R. Palmer, C. A. Haiman, and D. Huo"	9/10/2022
